calibration_date,history_cutoff_date,fixed_k,effective_start_date,effective_end_date,risk_alpha,validation_days,mean_validation_cost_yuan,standard_error_yuan,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,selected,fallback_reason
2025-07-30,2025-07-29,8,2025-07-30,2025-08-12,0.8,14,44509.2949727113,2595.842769035933,363.2010034590819,0.0768790267154275,True,False,
2025-07-30,2025-07-29,8,2025-07-30,2025-08-12,0.9,14,45343.74087647833,2451.0374509319067,4.979476820281195,0.07593590170810265,True,False,
2025-08-13,2025-08-12,8,2025-08-13,2025-08-26,0.6,14,41547.04434739075,2952.494486142974,33.520991726716204,0.0759278065691303,True,True,
2025-08-13,2025-08-12,8,2025-08-13,2025-08-26,0.7,14,42195.47468042459,2850.545518175057,33.52099172685277,0.07400212221338213,True,False,
2025-08-13,2025-08-12,8,2025-08-13,2025-08-26,0.8,14,42688.61767539765,2806.03126157455,33.52099172648292,0.07500787198867849,True,False,
2025-08-13,2025-08-12,8,2025-08-13,2025-08-26,0.9,14,44617.87038597966,2525.891610888532,33.520991726747795,0.07208966671688748,True,False,
2025-08-27,2025-08-26,8,2025-08-27,2025-09-09,0.6,14,37963.40725565401,2665.4352936934984,8240.905743087837,0.07742154450430203,True,True,
2025-08-27,2025-08-26,8,2025-08-27,2025-09-09,0.7,14,38434.97935923473,2584.8705345855205,8235.528297807188,0.07824942542980093,True,False,
2025-08-27,2025-08-26,8,2025-08-27,2025-09-09,0.8,14,39080.71587991242,2499.0241605345786,8217.612985179183,0.07549535421588059,True,False,
2025-08-27,2025-08-26,8,2025-08-27,2025-09-09,0.9,14,40251.95781246912,2250.6558842720638,5849.854949216807,0.07303684792922079,True,False,
2025-09-10,2025-09-09,8,2025-09-10,2025-09-23,0.6,14,36588.36706526244,2544.442246778017,2611.085721242364,0.09544859813468065,True,True,
2025-09-10,2025-09-09,8,2025-09-10,2025-09-23,0.7,14,36989.42724056833,2485.9070350204966,2581.3333555029717,0.07809918134963871,True,False,
2025-09-10,2025-09-09,8,2025-09-10,2025-09-23,0.8,14,37785.386557711325,2394.7860769042527,2503.116447585568,0.07679422328614496,True,False,
2025-09-10,2025-09-09,8,2025-09-10,2025-09-23,0.9,14,38987.498246076364,2292.8538941505367,2398.9867729160233,0.0739915150001512,True,False,
2025-09-24,2025-09-23,8,2025-09-24,2025-10-07,0.6,14,33792.154601136266,2565.6538151762848,2667.8284282866734,0.07169896143022925,True,True,
2025-09-24,2025-09-23,8,2025-09-24,2025-10-07,0.7,14,33999.41181967825,2531.436073290624,2389.3782964657566,0.07081158049654082,True,False,
2025-09-24,2025-09-23,8,2025-09-24,2025-10-07,0.8,14,34705.142438423914,2419.897182554192,2300.890388540764,0.06891341099149681,True,False,
2025-09-24,2025-09-23,8,2025-09-24,2025-10-07,0.9,14,35668.43248919528,2307.4088725801034,2165.211758497784,0.06960832435288467,True,False,
