calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,validation_days,validation_start_date,validation_end_date,window_start_soc_kwh,candidate_soc_end_kwh,candidate_soc_path_kwh,mean_actual_cost_yuan,standard_error_yuan,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_solve_seconds,used_full_day_actual_lp,future_actuals_in_optimizer,selection_criterion,one_se_threshold_yuan,selected,fallback_reason
2025-01-01,attachment1_fallback,2025-01-01,2025-01-14,m1,,0,none,none,6000.0,,,,,,,,,False,False,mean_actual_cost_sum_pq_plus_5pe,,True,insufficient_prior_14_day_window
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.8,14,2025-01-29,2025-02-11,1200.0000000493028,1221.2134038276238,1200.000000;1216.490509;1208.063673;1231.056660;1242.390178;1245.526181;1229.534360;1224.115173;1211.452452;1212.766072;1205.974919;1211.775391;1205.198611;1241.194775;1221.213404,46806.89193305805,4200.884988804429,45142.80554129042,1664.086391767616,4987.818761238645,8.919411863004955,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.9,14,2025-01-29,2025-02-11,1200.0000000493028,1221.2134038276238,1200.000000;1216.490509;1208.063673;1231.056660;1242.390178;1245.526181;1229.534360;1224.115173;1211.452452;1212.766072;1205.974919;1211.775391;1205.198611;1241.194775;1221.213404,47523.65968311046,3954.966429227832,46089.40775861339,1434.2519244970756,5349.495263788439,8.825076746558937,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.6,14,2025-01-29,2025-02-11,1200.0000000493028,1242.7113370184784,1200.000000;1202.128426;1200.000000;1228.336107;1245.564802;1243.702617;1239.117520;1212.194817;1208.791261;1207.301679;1200.056413;1269.622733;1263.728797;1261.779214;1242.711337,46805.14875900745,4209.916446440403,44405.72172820564,2399.427030801808,4511.1064388490895,4.329721667092859,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.7,14,2025-01-29,2025-02-11,1200.0000000493028,1242.7113370184784,1200.000000;1202.128426;1200.000000;1228.336107;1245.564802;1243.702617;1239.117520;1212.194817;1208.791261;1207.301679;1200.056413;1269.622733;1263.728797;1261.779214;1242.711337,46943.12639314167,4162.527831854245,44547.99395158171,2395.1324415599565,4440.312481088976,4.334273357143892,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,True,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.8,14,2025-01-29,2025-02-11,1200.0000000493028,1242.7113370184784,1200.000000;1202.128426;1200.000000;1228.336107;1245.564802;1243.702617;1239.117520;1212.194817;1208.791261;1207.301679;1200.056413;1269.622733;1263.728797;1261.779214;1242.711337,47085.60751497191,4137.479057980755,44728.334793778005,2357.272721193909,4466.425008027249,4.34146811609805,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.9,14,2025-01-29,2025-02-11,1200.0000000493028,1242.7113370184784,1200.000000;1202.128426;1200.000000;1228.336107;1245.564802;1243.702617;1239.117520;1212.194817;1208.791261;1207.301679;1200.056413;1269.622733;1263.728797;1261.779214;1242.711337,47784.36984928929,3866.762838373236,45688.243729676375,2096.1261196129026,4899.449903005107,4.324100688316061,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.6,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1223.007004;1218.293972;1209.094486;1206.899804;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44356.337531188816,4009.263602280801,39885.27759237504,4471.0599388137825,5119.547514114887,8.467354247945227,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.7,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1223.007004;1218.293972;1209.094486;1206.899804;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44483.06173919128,3967.9323442299396,40048.95046444699,4434.111274744284,5177.519697061927,8.374283634982671,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.8,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1223.007004;1218.293972;1209.094486;1206.899804;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44591.52222914136,3947.9094378343334,40171.54005278548,4419.982176355878,5225.409581192315,8.360545650361539,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.9,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1223.007004;1218.293972;1209.094486;1206.899804;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44754.90248871383,3906.1170708406657,40339.6865249682,4415.2159637456225,5327.597732096574,8.602394808062984,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
