calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,load_mae_kwh,pv_mae_kwh,net_load_mae_kwh,quantile_coverage,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_actual_cost_yuan,selected,selection_role
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m3,0.9,19.021372361111112,26.026612481989325,38.35682596165203,0.4720878802910053,33489.79833947768,5653.3651205773795,3705.927325982154,39143.16346005506,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m1,0.6,16.356570182291666,28.326399235874906,38.62415270130622,0.41733493165784824,29245.3571337321,8267.462007224449,2179.0796106270636,37512.819140956555,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m1,0.7,16.356570182291666,28.326399235874906,38.62415270130622,0.41733493165784824,29355.187483985508,8267.906910734353,2258.2120838572723,37623.09439471986,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m1,0.8,16.356570182291666,28.326399235874906,38.62415270130622,0.41733493165784824,29982.352858811886,8338.84225272664,2799.6467837388313,38321.19511153852,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m1,0.9,16.356570182291666,28.326399235874906,38.62415270130622,0.41733493165784824,30475.35049449058,8322.043427144492,3106.5919975156894,38797.39392163507,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m2,0.6,16.588274338624338,28.355589335317458,38.75864261739417,0.4089333939594357,29090.22006064764,8442.220021148632,2029.1770965127791,37532.44008179627,True,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m2,0.7,16.588274338624338,28.355589335317458,38.75864261739417,0.4089333939594357,29313.19071757948,8465.529652087513,2201.4360259666228,37778.720369667,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m2,0.8,16.588274338624338,28.355589335317458,38.75864261739417,0.4089333939594357,29733.912648385067,8467.308668001157,2525.0256961196246,38201.221316386225,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m2,0.9,16.588274338624338,28.355589335317458,38.75864261739417,0.4089333939594357,30395.06442545907,8614.565398361427,3104.7447583555736,39009.6298238205,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m3,0.6,16.536284646990737,28.419171109103367,38.8654255110308,0.4319954254850088,29020.991160819718,8483.81331785548,2063.1335332598487,37504.804478675185,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m3,0.7,16.536284646990737,28.419171109103367,38.8654255110308,0.4319954254850088,29164.31800269217,8443.882126986167,2113.599970168409,37608.200129678335,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m3,0.8,16.536284646990737,28.419171109103367,38.8654255110308,0.4319954254850088,29771.613996351643,8525.547025826034,2743.503687252452,38297.16102217768,False,diagnostic_only
2025-04-09,2025-04-08,2025-04-09,2025-04-22,m3,0.9,16.536284646990737,28.419171109103367,38.8654255110308,0.4319954254850088,30306.90871857569,8460.984893090514,3064.171156883641,38767.89361166621,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m1,0.6,16.264207485945768,25.245669118480723,34.692734695058576,0.44787533068783064,27396.506547614914,6011.50831639274,1841.0864913506907,33408.01486400766,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m1,0.7,16.264207485945768,25.245669118480723,34.692734695058576,0.44787533068783064,27661.891754274402,6028.444125700419,1919.4883832799085,33690.33587997482,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m1,0.8,16.264207485945768,25.245669118480723,34.692734695058576,0.44787533068783064,28113.237924941554,5961.823448338998,2206.1309302409877,34075.06137328054,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m1,0.9,16.264207485945768,25.245669118480723,34.692734695058576,0.44787533068783064,29111.015575031586,5383.1495490629095,2502.8530492065192,34494.1651240945,False,diagnostic_only
