date,q_max_abs_kwh,q_sum_abs_kwh,planned_cost_abs_yuan,charge_block_abs_kwh,soc_start_abs_kwh,soc_end_abs_kwh,soc_vs_dispatch_abs_kwh,emergency_abs_kwh,emergency_vs_ledger_abs_kwh,emergency_recon_abs_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,max_simultaneous_cd_kwh2,charge_power_ok,discharge_power_ok,soc_bounds_ok
2025-06-25,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,1.3642420526593924e-12,1.3642420526593924e-12,1.3642420526593924e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-26,2.2737367544323206e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-27,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-28,4.547473508864641e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-06-29,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-30,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-01,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-02,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-03,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,1.8189894035458565e-12,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-04,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,5.4569682106375694e-12,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-05,4.547473508864641e-13,0.0,3.637978807091713e-12,5.4569682106375694e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-06,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,9.094947017729282e-13,9.094947017729282e-13,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-07,2.2737367544323206e-13,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-08,4.547473508864641e-13,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.7000623958883807e-13,0.0,0.0,True,True,True
2025-07-09,4.547473508864641e-13,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,4.689582056016661e-13,0.0,0.0,True,True,True
2025-07-10,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-11,4.547473508864641e-13,0.0,3.637978807091713e-12,3.637978807091713e-12,4.547473508864641e-13,2.2737367544323206e-13,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,1.8189894035458565e-12,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-12,4.547473508864641e-13,0.0,3.637978807091713e-12,3.637978807091713e-12,2.2737367544323206e-13,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-13,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-14,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-15,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-16,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.831690603168681e-13,0.0,0.0,True,True,True
2025-07-17,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.5579538487363607e-13,0.0,0.0,True,True,True
2025-07-18,2.2737367544323206e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-19,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-20,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-21,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-22,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-23,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-24,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-25,4.547473508864641e-13,7.275957614183426e-12,0.0,9.094947017729282e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.9704017023846063e-13,0.0,0.0,True,True,True
2025-07-26,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-07-27,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-28,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-29,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-07-30,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-07-31,2.2737367544323206e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-01,2.2737367544323206e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-02,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-03,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-04,4.547473508864641e-13,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
