date,forecast_mode,risk_alpha,scenario_k,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,emergency_kwh,used_full_day_actual_lp,future_actuals_in_optimizer,pass,fallback_reason,include_value_cuts
2025-07-13,m1,0.6,8,7379.791630567559,7443.656591610949,42508.44122957856,20684.67537862326,63193.11660820182,967.0446740192874,5014.740654980537,False,False,True,,True
2025-07-14,m1,0.6,8,7443.656591610949,7505.275626863946,41916.911218698966,26654.56578200629,68571.47700070526,68.94661450068543,6896.744341488314,False,False,True,,True
2025-07-15,m1,0.6,8,7505.275626863946,8099.14454069824,44366.69731936749,19433.074603343804,63799.7719227113,454.36291686136815,5758.903981683157,False,False,True,,True
2025-07-16,m2,0.6,8,8099.14454069824,7698.658990810412,43205.82192427413,20021.736915673122,63227.558839947254,244.7738476926542,5395.711979296491,False,False,True,,True
2025-07-17,m2,0.6,8,7698.658990810412,1254.7235302673873,40991.716603921865,20252.294841591745,61244.011445513606,74.494789324978,5853.227045422119,False,False,True,,True
2025-07-18,m2,0.6,8,1254.7235302673873,1342.610261813611,22522.17218911132,16312.642335783858,38834.81452489518,1161.0329140787305,4389.82101302091,False,False,True,,True
2025-07-19,m2,0.6,8,1342.610261813611,7768.684798476053,25543.400006431955,16272.23128902775,41815.63129545971,1962.3832477324868,4071.8740076367662,False,False,True,,True
2025-07-20,m2,0.6,8,7768.684798476053,7739.673716652903,43410.106854553414,18657.7075076911,62067.81436224451,246.09622711441727,5985.8270862853715,False,False,True,,True
2025-07-21,m2,0.6,8,7739.673716652903,8071.740408235799,43943.90271225544,23488.432721984347,67432.3354342398,22.975926873994126,7245.994674589252,False,False,True,,True
2025-07-22,m2,0.6,8,8071.740408235799,8465.873362766322,47758.81273781308,7574.85426708827,55333.66700490135,1201.2704800485972,2195.5196539439844,False,False,True,,True
2025-07-23,m2,0.6,8,8465.873362766322,8420.029878786208,47474.01885739784,9256.640972010442,56730.65982940828,973.4272279387258,2851.3420423394687,False,False,True,,True
2025-07-24,m2,0.6,8,8420.029878786208,2552.2365270060354,45055.616101723994,10111.270618958533,55166.88672068252,1296.741368816301,2955.56608684497,False,False,True,,True
2025-07-25,m2,0.6,8,2552.2365270060354,3077.2340248308337,24733.61031152748,6463.671798022531,31197.28210955001,2458.5451794378714,1287.342837837409,False,False,True,,True
2025-07-26,m2,0.6,8,3077.2340248308337,9003.786846722234,27861.926192144627,5589.582292111776,33451.5084842564,2666.9605417513117,1418.3708967374375,False,False,True,,True
2025-07-27,m2,0.6,8,9003.786846722234,8541.403664656196,47066.10010878007,6738.227721312864,53804.32783009293,955.5851904981105,2431.976547561171,False,False,True,,True
2025-07-28,m2,0.6,8,8541.403664656196,8449.553486369892,47604.96229006376,15841.379451656925,63446.34174172069,594.0604064669441,5533.092547272731,False,False,True,,True
2025-07-29,m2,0.6,8,8449.553486369892,8873.859030416781,49079.33791068192,8829.011854070508,57908.34976475243,2093.7082367913395,3184.009803387187,False,False,True,,True
2025-07-30,m3,0.6,8,8873.859030416781,8872.678059900285,49546.55556844695,3591.7444209865744,53138.29998943352,2397.4854392516454,1167.4439761845038,False,False,True,,True
2025-07-31,m3,0.6,8,8872.678059900285,3112.9525510450558,46597.03356490853,4248.846970694091,50845.88053560262,1925.019861139842,1162.3525118565094,False,False,True,,True
2025-08-01,m3,0.6,8,3112.9525510450558,3628.8460660492565,24961.76365654761,4175.425799913292,29137.189456460903,2770.394786399731,817.6575382424645,False,False,True,,True
2025-08-02,m3,0.6,8,3628.8460660492565,9341.486438527738,27382.819428443043,3115.2316705702265,30498.051099013268,3307.6378316723085,547.8423488472824,False,False,True,,True
2025-08-03,m3,0.6,8,9341.486438527738,8361.5706442698,46789.76702785067,1803.6565819572734,48593.42360980794,5176.498974850176,305.5932643046333,False,False,True,,True
2025-08-04,m3,0.6,8,8361.5706442698,8844.89138462403,46010.76380415787,1487.374158912651,47498.13796307052,3138.4655286039065,290.04175739922636,False,False,True,,True
2025-08-05,m3,0.6,8,8844.89138462403,8742.03778991992,44698.53703281061,1653.0889876787087,46351.62602048932,2859.1507581249107,674.1185834289115,False,False,True,,True
2025-08-06,m3,0.6,8,8742.03778991992,8554.16735972269,44221.853635560576,11219.198258594735,55441.05189415531,2263.155524932944,3214.854703828404,False,False,True,,True
2025-08-07,m3,0.6,8,8554.16735972269,2640.040933976223,41565.08177639921,236.7822194370354,41801.86399583625,2412.6195453737446,35.05582743998056,False,False,True,,True
2025-08-08,m3,0.6,8,2640.040933976223,2842.0145861134574,22740.53936312579,877.6827407444167,23618.22210387021,1482.9636432638833,213.599736075774,False,False,True,,True
2025-08-09,m3,0.6,8,2842.0145861134574,8510.255897880508,25202.577087761874,1637.85013980456,26840.427227566433,1174.6890326284772,482.857664986235,False,False,True,,True
2025-08-10,m3,0.6,8,8510.255897880508,8472.700345583133,43445.29933120256,6435.617971600186,49880.91730280274,1918.4780267568067,2196.225127231321,False,False,True,,True
2025-08-11,m3,0.6,8,8472.700345583133,8527.449373480868,43520.75894140359,5121.787134114444,48642.54607551803,2570.5191262600497,1352.7273598642496,False,False,True,,True
2025-08-12,m3,0.6,8,8527.449373480868,8474.37395776063,43172.831854880365,12773.571197248328,55946.40305212869,1926.470720244732,3911.5629736580695,False,False,True,,True
2025-08-13,m3,0.6,8,8474.37395776063,8699.678375106363,43773.197548458964,5452.710712613618,49225.90826107258,2425.4923169149893,2060.013094020324,False,False,True,,True
2025-08-14,m3,0.6,8,8699.678375106363,2583.423328719906,41030.89467921396,9255.525541323437,50286.4202205374,2371.477536168124,2366.528584384113,False,False,True,,True
2025-08-15,m3,0.6,8,2583.423328719906,2733.162940074819,22993.504706645694,3322.271142609282,26315.775849254976,1214.0847561529322,878.7012199523697,False,False,True,,True
2025-08-16,m3,0.6,8,2733.162940074819,8508.958323519046,24976.655678512947,4345.752887000084,29322.408565513033,569.1327315390699,1089.2063309735577,False,False,True,,True
2025-08-17,m3,0.6,8,8508.958323519046,8517.245854082745,43437.46237020058,4183.1434329730755,47620.605803173654,2094.782187400946,1032.6412456905173,False,False,True,,True
2025-08-18,m3,0.6,8,8517.245854082745,8576.918024736402,43188.78578639025,9090.411103199913,52279.19688959017,1936.4273113113445,2000.43447410025,False,False,True,,True
2025-08-19,m3,0.6,8,8576.918024736402,8451.771997729871,43115.388278251616,6589.923647398562,49705.31192565018,1418.1181996692544,2101.6081932024736,False,False,True,,True
2025-08-20,m3,0.6,8,8451.771997729871,8409.240928208055,43023.690230870554,24897.539194394412,67921.22942526496,2148.7531283340486,7466.648314643369,False,False,True,,True
2025-08-21,m3,0.6,8,8409.240928208055,2966.338690317985,41430.91587460926,6746.485274369388,48177.40114897865,2012.7515539689666,2276.822222586005,False,False,True,,True
2025-08-22,m3,0.6,8,2966.338690317985,2861.4642653171304,22670.392724360594,11019.41326255444,33689.80598691503,521.8396176440435,2837.433107507134,False,False,True,,True
2025-08-23,m3,0.6,8,2861.4642653171304,8382.125163357661,25318.068668265638,1896.2702597026762,27214.338927968314,836.8814092643468,550.3317175474505,False,False,True,,True
2025-08-24,m3,0.6,8,8382.125163357661,8628.542521647007,44412.097815498084,4787.580487047842,49199.67830254593,3222.583117334495,1123.1073846099043,False,False,True,,True
2025-08-25,m3,0.6,8,8628.542521647007,8689.076507217696,44143.88033479247,17546.41126361253,61690.291598405,2298.7768965623845,5680.814825115067,False,False,True,,True
2025-08-26,m3,0.6,8,8689.076507217696,8963.051908387513,44644.39180583422,3994.0339094171104,48638.42571525133,3395.4850229572726,811.6006073913557,False,False,True,,True
2025-08-27,m3,0.6,8,8963.051908387513,8713.31024526346,44553.83811170269,11315.042771516128,55868.880883218815,2875.3048714265947,3103.3789902335566,False,False,True,,True
2025-08-28,m3,0.6,8,8713.31024526346,3208.789411846848,42482.27150372556,16215.412622312215,58697.68412603778,2948.1278558350555,5739.058625243466,False,False,True,,True
2025-08-29,m3,0.6,8,3208.789411846848,3235.002827377709,23403.475197207692,2457.831311730711,25861.306508938404,1111.0847993069524,611.6473730362643,False,False,True,,True
2025-08-30,m3,0.6,8,3235.002827377709,8362.32396839563,25782.73441534883,3285.239982715007,29067.974398063838,869.8926818554286,1025.5560625238174,False,False,True,,True
2025-08-31,m3,0.6,8,8362.32396839563,8967.545273415122,45276.61786062627,4313.1594952830665,49589.77735590933,2743.0639334520347,1684.5222218296053,False,False,True,,True
2025-09-01,m3,0.6,8,8967.545273415122,10799.999999753083,44801.169500805234,0.0,44801.169500805234,9869.909394410752,0.0,False,False,True,,True
2025-09-02,m3,0.6,8,10799.999999753083,10799.999999751853,43598.661363234394,0.0,43598.661363234394,10517.179877826657,0.0,False,False,True,,True
2025-09-03,m3,0.6,8,10799.999999751853,10799.999999751853,43402.84640098691,0.0,43402.84640098691,7753.942380680311,0.0,False,False,True,,True
