date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-07-15,46747.581860629594,0.0,46747.581860629594,74712.97656421683,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0049993749998975545,True
2025-07-16,46558.88860591255,0.0,46558.88860591255,74103.33474940201,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.006153708003694192,True
2025-07-17,47184.792555797554,0.0,47184.792555797554,74843.89907532795,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004968708992237225,True
2025-07-18,22734.490343351383,0.0,22734.490343351383,39378.70095723358,0.0,6798.913320794516,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004887707997113466,True
2025-07-19,23423.086500181016,0.0,23423.086500181016,39981.597503529876,0.0,11551.590504127851,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004928750015096739,True
2025-07-20,46234.944511003116,0.0,46234.944511003116,74102.13613273535,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004953333002049476,True
2025-07-21,47627.09223884867,0.0,47627.09223884867,76076.79252162424,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.7053025658242404e-13,0.0,0.005003583995858207,True
2025-07-22,47350.79651178515,0.0,47350.79651178515,75888.55981792054,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.00522029199055396,True
2025-07-23,47925.3425442983,0.0,47925.3425442983,76385.2983771798,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005425165989436209,True
2025-07-24,47495.148885129034,0.0,47495.148885129034,75653.37720310572,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005450041004223749,True
2025-07-25,22441.25301823231,0.0,22441.25301823231,38843.00504241877,0.0,11042.912737461185,1200.0,1200.0,1200.0,10800.0,0.0,0.0,0.005257249984424561,True
2025-07-26,22753.091062626383,0.0,22753.091062626383,39363.59401278914,0.0,9585.997604127855,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0050869999977294356,True
2025-07-27,47231.90803893024,0.0,47231.90803893024,75884.45448769294,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005464916990604252,True
2025-07-28,49756.2713012807,0.0,49756.2713012807,80139.19429755017,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005241625010967255,True
2025-07-29,48434.95752529878,0.0,48434.95752529878,78203.47598495758,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005092750012408942,True
2025-07-30,47573.74440093875,0.0,47573.74440093875,76242.14355250775,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.7053025658242404e-13,0.0,0.005008209001971409,True
2025-07-31,48074.12325492922,0.0,48074.12325492922,76881.49904384647,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0050254160014446825,True
2025-08-01,22013.768130065826,0.0,22013.768130065826,38160.12394427062,0.0,15660.06228746118,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004808166995644569,True
