calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-05-07,2025-05-06,8,2,2025-05-07,2025-05-20,30808.39733739211,2916.074166052091,14,27425.65841717726,0.08323602705994355,True,False,False,
2025-05-07,2025-05-06,10,2,2025-05-07,2025-05-20,30946.674219084507,3012.6650165049036,14,28947.364016297146,0.11015209243383392,True,False,False,
2025-05-07,2025-05-06,12,2,2025-05-07,2025-05-20,30875.408801293666,2978.692477659996,14,28573.140009523722,0.13053305057526035,True,False,False,
2025-05-21,2025-05-20,2,2,2025-05-21,2025-06-03,30299.00143187123,2988.5588964966537,14,20353.31220940579,0.02586051171861722,True,True,True,
2025-05-21,2025-05-20,4,2,2025-05-21,2025-06-03,29784.24161543549,2811.366249898615,14,14710.635126786248,0.03921931556708712,True,False,False,
2025-05-21,2025-05-20,6,2,2025-05-21,2025-06-03,30275.67378494239,2854.7478853669168,14,16708.99507429809,0.05592421136056406,True,False,False,
2025-05-21,2025-05-20,8,2,2025-05-21,2025-06-03,30030.934196525723,2728.306946623912,14,17942.26091726527,0.07926595814517766,True,False,False,
2025-05-21,2025-05-20,10,2,2025-05-21,2025-06-03,29721.573765328525,2711.975367380427,14,16294.409900812612,0.10164765499731791,True,False,False,
2025-05-21,2025-05-20,12,2,2025-05-21,2025-06-03,29974.77783489983,2742.0546543896553,14,16504.929269275737,0.12358514592883044,True,False,False,
2025-06-04,2025-06-03,2,2,2025-06-04,2025-06-17,35397.201095287295,5672.592210704095,14,45361.67149085339,0.023872720568241284,True,True,True,
2025-06-04,2025-06-03,4,2,2025-06-04,2025-06-17,34831.92266327697,5222.156795254991,14,37644.221787279355,0.042135205290313546,True,False,False,
2025-06-04,2025-06-03,6,2,2025-06-04,2025-06-17,34484.664564956794,5098.809883975102,14,36987.46105038759,0.06056536620807102,True,False,False,
2025-06-04,2025-06-03,8,2,2025-06-04,2025-06-17,34893.161340100014,5356.617688859737,14,37620.2595935002,0.07579866949942828,True,False,False,
2025-06-04,2025-06-03,10,2,2025-06-04,2025-06-17,34593.07963132729,5389.814115393353,14,37472.52327259192,0.10628640485603162,True,False,False,
2025-06-04,2025-06-03,12,2,2025-06-04,2025-06-17,34579.559540082184,5394.71751761047,14,37683.910069024096,0.12620339592935384,True,False,False,
2025-06-18,2025-06-17,2,2,2025-06-18,2025-07-01,44826.56086397696,3301.431192873448,14,26232.144790494593,0.0245777172157042,True,True,True,
2025-06-18,2025-06-17,4,2,2025-06-18,2025-07-01,45455.30900255358,3526.4039168148574,14,37651.489752051544,0.040425845216045024,True,False,False,
2025-06-18,2025-06-17,6,2,2025-06-18,2025-07-01,45705.36877128646,3694.5408749627563,14,39463.824647043344,0.05698785684944596,True,False,False,
2025-06-18,2025-06-17,8,2,2025-06-18,2025-07-01,44059.09154030895,3761.208999895133,14,30132.284636951626,0.07215888392862066,True,False,False,
2025-06-18,2025-06-17,10,2,2025-06-18,2025-07-01,43551.030284586064,3695.9803931028896,14,26300.08229831522,0.09213206564683267,True,False,False,
2025-06-18,2025-06-17,12,2,2025-06-18,2025-07-01,42264.90040312118,3855.730242861629,14,22020.835575985926,0.11518948807497509,True,False,False,
2025-07-02,2025-07-01,2,2,2025-07-02,2025-07-15,41734.975303894484,3713.4058278728844,14,5371.774791700991,0.023097196500332626,True,True,True,
2025-07-02,2025-07-01,4,2,2025-07-02,2025-07-15,41792.71658530191,3703.572987286163,14,4753.199823361681,0.03976928585533252,True,False,False,
2025-07-02,2025-07-01,6,2,2025-07-02,2025-07-15,41718.956803528745,3744.3399767347296,14,2586.930344264516,0.05991598528427338,True,False,False,
2025-07-02,2025-07-01,8,2,2025-07-02,2025-07-15,41958.59629660761,3717.752570931072,14,2797.255213929997,0.07281917250449103,True,False,False,
2025-07-02,2025-07-01,10,2,2025-07-02,2025-07-15,41912.8896140483,3689.6162734280942,14,2248.558873872473,0.0927269016392529,True,False,False,
2025-07-02,2025-07-01,12,2,2025-07-02,2025-07-15,41892.1038231003,3679.839123972178,14,1999.211738724805,0.12381119336142936,True,False,False,
2025-07-16,2025-07-15,2,2,2025-07-16,2025-07-29,44935.38727266586,3515.175308498076,14,28523.889854814362,0.023835690492498025,True,True,True,
2025-07-16,2025-07-15,4,2,2025-07-16,2025-07-29,44727.03455320053,3536.6874407059245,14,28092.758473620986,0.041674553570503904,True,False,False,
2025-07-16,2025-07-15,6,2,2025-07-16,2025-07-29,45073.457499225064,3470.9287619733445,14,30204.476884807078,0.055928663643758876,True,False,False,
2025-07-16,2025-07-15,8,2,2025-07-16,2025-07-29,46064.919700285056,3495.405808597485,14,37826.77038193915,0.07536266978422645,True,False,False,
2025-07-16,2025-07-15,10,2,2025-07-16,2025-07-29,45877.16723319149,3552.8481579947534,14,36672.154323181145,0.10168411614722572,True,False,False,
2025-07-16,2025-07-15,12,2,2025-07-16,2025-07-29,46088.23622178287,3374.964054244593,14,39019.76549035257,0.13282277393279532,True,False,False,
2025-07-30,2025-07-29,2,2,2025-07-30,2025-08-12,41284.88347710118,3003.8245490245145,14,4670.227172793311,0.024159907789518393,True,True,True,
2025-07-30,2025-07-29,4,2,2025-07-30,2025-08-12,41599.829991621154,2965.2095609593525,14,3397.1290841361083,0.03961143471575009,True,False,False,
2025-07-30,2025-07-29,6,2,2025-07-30,2025-08-12,42365.4616380467,3049.3294077718947,14,2629.9126807167277,0.05810471107750865,True,False,False,
2025-07-30,2025-07-29,8,2,2025-07-30,2025-08-12,42358.80272885058,3042.3022773528432,14,1108.9980486136626,0.0781767649293345,True,False,False,
2025-07-30,2025-07-29,10,2,2025-07-30,2025-08-12,42380.4086482625,3048.25027112578,14,47.11869188180836,0.10857082428576957,True,False,False,
2025-07-30,2025-07-29,12,2,2025-07-30,2025-08-12,42311.461042058705,3046.8409541135925,14,390.7207902133084,0.14763978263363242,True,False,False,
2025-08-13,2025-08-12,2,2,2025-08-13,2025-08-26,39889.93471660519,2916.351792445676,14,5070.947124136973,0.02577081571299849,True,True,True,
2025-08-13,2025-08-12,4,2,2025-08-13,2025-08-26,39123.886100984586,2477.1820049096664,14,3457.874322811781,0.038905776787682304,True,False,False,
2025-08-13,2025-08-12,6,2,2025-08-13,2025-08-26,40108.45438865217,2848.4953799938608,14,45.52445899010546,0.06029703571610818,True,False,False,
