date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-03-23,2,52073.092455614824,4742.6345900723245,56815.72704568715,65879.61792142857,bfdaec6efaf14df7f937d6d3086db587883ec7250b40540be8851ec78250c8a8,63158.80851011905,2720.809411309523,1264.8885398809525,5653.976933333332,1.1368683772161603e-13,0.0,True
2025-03-24,2,51706.32195630077,5620.529078536906,57326.85103483768,65423.91086309524,6f3fd46c36cc70ce389e1dfd3f17674db7a8bb093b1fa48992706241052ebb0d,63397.77783095237,2026.1330321428582,1585.6280357142857,6984.908783333332,1.1368683772161603e-13,0.0,True
2025-03-25,2,52312.46576661982,4915.6032960937455,57228.06906271356,66285.5011767857,d3c0be958170d3f8a0b375c9bc62004f02c1fd59211947fdfed2fcc92614069c,64436.69031309524,1848.8108636904756,1301.4023702380941,4787.967966666666,0.0,0.0,True
2025-03-26,2,52260.924240991124,2322.6834409607113,54583.607681951835,66226.24599940477,2f9b375a43d151bdf224c5c0541e12a4c5ff0fb93c15f31b0c6a6f34e60087bd,63098.09310535714,3128.1528940476187,668.9782946428564,8174.516533333333,1.1368683772161603e-13,0.0,True
2025-03-27,2,51571.957940179105,4432.7160062875055,56004.67394646661,65158.87861904761,6526217503601583289a921c9f1e1ac35f7f665848833b8a6061d05103dc4c4e,63085.82837857142,2073.050240476191,1364.0964214285725,5732.9354,1.1368683772161603e-13,0.0,True
2025-03-28,2,26890.09919621262,3514.896489411603,30404.995685624224,36684.924098809526,f2c4fe09f9831f152e15152990c2ab71fb244c21c85176aa170e829a89ad9592,35252.01465654762,1432.909442261905,965.2062601190473,25395.34015,0.0,0.0,True
2025-03-29,2,27291.648490205538,2842.679732604759,30134.328222810298,37257.734379166664,0d50652975aac14e11d92748ed03b3e48a62daa939ad81cc5fddc6dc678545f5,35611.90795714286,1645.82642202381,779.1327761904755,28683.831549999995,5.684341886080802e-14,0.0,True
2025-03-30,2,51198.09653223929,3859.2584081639848,55057.354940403275,64975.424511904755,a4fb2f45aece0d2127bbf85ac7de5823ffe8d95caa3c0d2543528ceda97e5283,62056.96001845237,2918.4644934523817,1099.2312482142845,7810.571566666667,1.1368683772161603e-13,0.0,True
2025-03-31,2,50915.65856910863,6222.707469375595,57138.36603848422,64685.40166369048,04f6d29195a7f82ce26d47087eb41064f1a4221ffa19a307daff8c23b708fffe,61028.36107083333,3657.0405928571454,1601.384929166666,5678.356516666667,0.0,0.0,True
2025-04-01,2,50314.942621219874,6846.630810679164,57161.573431899036,64082.612650595234,c036428561890faee0b9a75ece589dfb59a6afdbdf9549b8753bae695d2ffb0b,61490.87584047619,2591.736810119046,1788.120826190475,3070.1451500000003,1.1368683772161603e-13,0.0,True
2025-04-02,2,50046.30628377809,10400.591958191955,60446.89824197005,63770.17253392857,c0523f77a57f628afcc5a89330f194062bac6badbace8b04efaace17b480d1bd,61821.03903214286,1949.1335017857139,2411.785967857141,3797.4896,1.1368683772161603e-13,0.0,True
2025-04-03,2,50525.20101428428,5119.603412502972,55644.80442678725,64166.603786904765,577cc74f2f610b2ad5f591a4953286c5bc3d4a2e6999cd757786b14e1bb19de1,62414.301447023805,1752.3023398809519,1353.4586363095227,7904.229816666666,0.0,0.0,True
2025-04-04,2,26612.428769344882,2172.060033171426,28784.48880251631,36365.96738214286,5b40e67efe7649ed949a21d4ae91e98a098d8e3ccf12f47a7fee4011e146ef5c,34554.712054166666,1811.25532797619,671.0288791666659,28794.938683333334,5.684341886080802e-14,0.0,True
2025-04-05,2,26668.16098464857,2358.3199184904756,29026.480903139047,36580.202711309525,4882c152fafd73a6e92914e21c658bd8c7e6912ddb7f2f292ddea8bab37aec21,34913.01656904762,1667.1861422619045,721.9267476190475,23590.82833333333,5.684341886080802e-14,0.0,True
2025-04-06,2,50114.09611320393,3945.524729937199,54059.62084314113,63828.76612202381,e1fc2c1261f337c321740d9d6aaf5c163d7fdd9ada1c1306921bd5b9a46dec59,61209.9707452381,2618.7953767857143,1098.4249380952374,7898.319416666665,1.1368683772161603e-13,0.0,True
2025-04-07,2,49774.7227371747,2647.4556992413636,52422.17843641606,63419.136595238095,6317e09eab9d18a90a063952e8895975d80ee97219dffcc7d6772c89e570f87a,60392.74407619047,3026.3925190476193,846.7293071428558,7996.7541,1.1368683772161603e-13,0.0,True
2025-04-08,2,49701.31350978166,6445.223479434527,56146.53698921619,63537.23493809524,a90fe8a8c244971be52e6075c8dbafde7093d1c5380db794ab6eab9e6eb3cf76,61804.48642261904,1732.748515476193,1470.6739940476195,8921.9668,0.0,0.0,True
