time,price,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,curtailment_kwh,balance_residual_kwh
19:10-19:20,1.3523,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,7959.060686016112,0.0,0.0
19:20-19:30,1.3445,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,7212.18024503435,0.0,0.0
19:30-19:40,1.3483,709.4468833333333,0.0,0.0,0.0,709.4468833333333,6464.3575682873225,0.0,0.0
19:40-19:50,1.349,711.23245,0.0,0.0,0.0,711.23245,5714.6527390133815,0.0,0.0
19:50-20:00,1.3473,711.6625,0.0,0.0,0.0,711.6625,4964.494597236855,0.0,0.0
20:00-20:10,1.3482,711.4450333333332,0.0,0.0,0.0,711.4450333333332,4214.565685454272,0.0,0.0
20:10-20:20,1.3513,713.7040833333333,0.0,0.0,0.0,713.7040833333333,3462.255525888955,0.0,0.0
20:20-20:30,1.34,715.28415,0.0,0.0,0.0,715.28415,2708.2798298164457,0.0,0.0
20:30-20:40,1.3489,715.22685,0.0,0.0,0.0,715.22685,1954.3645332472456,0.0,0.0
20:40-20:50,1.3952,715.6530333333333,0.0,0.0,0.0,715.6530333333333,1200.0,0.0,0.0
20:50-21:00,1.2226,715.8689166666666,0.0,715.8689166666666,0.0,0.0,1200.0,0.0,0.0
21:00-21:10,0.9332,717.0051166666667,0.0,717.0051166666667,0.0,0.0,1200.0,0.0,0.0
21:10-21:20,0.9068,720.1603,0.0,720.1603,0.0,0.0,1200.0,0.0,0.0
21:20-21:30,0.9371,717.0548666666666,0.0,717.0548666666666,0.0,0.0,1200.0,0.0,0.0
21:30-21:40,0.9371,720.4459666666667,0.0,720.4459666666667,0.0,0.0,1200.0,0.0,0.0
21:40-21:50,0.9871,738.1347166666666,0.0,738.1347166666666,0.0,0.0,1200.0,0.0,0.0
21:50-22:00,0.7764,671.6935666666666,0.0,671.6935666666666,0.0,0.0,1200.0,0.0,0.0
22:00-22:10,0.4209,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,1990.5694150420948,0.0,0.0
22:10-22:20,0.3859,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,2781.1388300841895,0.0,0.0
22:20-22:30,0.4368,568.8260499999999,0.0,568.8260499999999,0.0,0.0,2781.1388300841895,0.0,0.0
22:30-22:40,0.4198,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,3571.708245126284,0.0,1.1368683772161603e-13
22:40-22:50,0.4186,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,4362.277660168379,0.0,0.0
22:50-23:00,0.4241,566.7474333333332,0.0,566.7474333333332,0.0,0.0,4362.277660168379,0.0,0.0
23:00-23:10,0.4237,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,5152.847075210474,0.0,0.0
23:10-23:20,0.4248,567.83015,0.0,567.83015,0.0,0.0,5152.847075210474,0.0,0.0
23:20-23:30,0.424,569.3586333333333,0.0,569.3586333333333,0.0,0.0,5152.847075210474,0.0,0.0
23:30-23:40,0.422,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,5943.416490252569,0.0,0.0
23:40-23:50,0.424,571.6153833333333,0.0,631.2596396027402,59.64425626940691,0.0,6000.0,0.0,1.4210854715202004e-14
23:50-0:00+1,0.4271,573.1768333333333,0.0,573.1768333333333,0.0,0.0,6000.0,0.0,0.0
0:00+1-0:10+1,0.4276,574.1209833333332,0.0,574.1209833333332,0.0,0.0,6000.0,0.0,0.0
