date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-03-01,M1_M6,A_q2_aligned,1200.0,19911.137455850934,18245.555033682846,1665.5824221680896,380.0380954177786,7482.399187579904,17862.06840191509,13834.385096437589,6061.293139904854,8424.016790560543,37148.70887204408,36190.09736084223,18557.117086316048,1.1368683772161603e-13
2025-03-02,M1_M6,A_q2_aligned,1200.0,51616.49070660479,49095.80968008106,2520.6810265237286,498.9055535394699,9.991250000000036,22781.307418332042,20553.999676667976,8424.016790560543,8370.444644541343,78751.96305784634,79115.72972335225,47785.97640821196,2.2737367544323206e-13
2025-03-03,M1_M6,A_q2_aligned,1200.0,51619.15322319571,48641.78846009534,2977.3647631003682,799.70251242847,143.18612500000063,22585.311899369124,20298.291721941176,8370.444644541343,8400.474674109248,81307.41068023679,76675.18971287165,49385.17354937712,1.1368683772161603e-13
2025-03-04,M1_M6,A_q2_aligned,1200.0,48280.298711159325,45310.55762182571,2969.74108933361,815.4732879230569,371.47075541982827,21245.09294985962,19239.52578459003,8400.474674109248,8275.098660890937,71945.38106110095,73831.88188791618,43618.22241062802,2.2737367544323206e-13
2025-03-05,M1_M6,A_q2_aligned,1200.0,48179.361835039665,44262.38166664529,3916.980168394371,994.9038101223326,367.6284166666669,20902.45654241799,18581.733032594893,8275.098660890937,8518.043652180359,76132.66029193396,71169.98854712647,45860.23582262172,1.1368683772161603e-13
2025-03-06,M1_M6,A_q2_aligned,1200.0,43415.62446744221,41784.765858993625,1630.858608448589,338.4337423423349,701.127062499999,18156.6056174373,18924.562422727526,8518.043652180359,5794.671824782179,68087.36122974289,68149.19084241553,41387.70117128829,1.7053025658242404e-13
2025-03-07,M1_M6,A_q2_aligned,1200.0,18936.148486079754,16471.065045603984,2465.083440475769,665.7351789157372,9185.064260334593,14556.76289502946,13294.55632571268,5794.671824782179,5590.736833427599,32324.797427134363,32050.1432953076,16580.332453163635,1.1368683772161603e-13
2025-03-08,M1_M6,A_q2_aligned,1200.0,17841.730540542267,17391.243970207837,450.4865703344287,134.2824018125217,10306.512748611072,18064.293981754465,13565.52415642482,5590.736833427599,8428.712828880236,33888.29811613832,34712.595667198635,16816.350140141298,1.1368683772161603e-13
2025-03-09,M1_M6,A_q2_aligned,1200.0,44853.8006283058,42575.0939169669,2278.706711338901,606.5896900671642,311.44316419753017,20579.825609864456,18531.08247590001,8428.712828880236,8418.973617658767,74182.33359188626,67772.07355349507,44367.977690074506,1.7053025658242404e-12
2025-03-10,M1_M6,A_q2_aligned,1200.0,46585.58875764257,43461.27811108426,3124.3106465583023,783.1924538831134,413.29766250000097,20842.607112450194,18762.999216439035,8418.973617658767,8414.069119768452,71009.97915544946,72023.1596411866,42148.841244648094,1.1368683772161603e-13
