date,strategy,load_information_case,with_terminal_value,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-02-01,M1_M6,causal_load_main,False,06:00,36,584.2286924163454,True,1713.3245867681965,0.0,1713.3245867681965,10545.021047862725,9960.79235544638,8596.041513840024,1200.0,optimal,0.04366813600017849
2025-02-01,M1_M6,causal_load_main,False,12:00,72,3749.4123633580184,True,1750.2030272259544,1750.2030272259544,0.0,14328.338023899629,10578.92566054161,5236.340149402797,1200.0,optimal,0.03561342000011791
2025-02-01,M1_M6,causal_load_main,False,18:00,108,26.40691163874817,True,53.50402501459574,0.0,53.50402501459574,4918.577853736564,4892.170942097816,9882.886917397209,1200.0,optimal,0.027440301999831718
2025-02-01,M0,actual_load_proxy,True,00:00,0,,True,36875.50238786107,36875.50238786107,0.0,,70548.60351209581,8687.551655739135,8428.291709682277,optimal,0.04591305999974793
2025-02-01,M1_M6,actual_load_proxy,True,00:00,0,,True,36875.50238786107,36875.50238786107,0.0,,70548.60351209581,8687.551655739135,8428.291709682277,optimal,0.04635039100003269
2025-02-01,M1_M6,actual_load_proxy,True,06:00,36,448.41212106941384,True,1147.3733780054786,0.0,1147.3733780054786,63654.88525151406,63206.47313044465,7535.488702096491,8428.291715298323,optimal,0.06057426299958024
2025-02-01,M1_M6,actual_load_proxy,True,12:00,72,4188.082422533174,True,2072.1285984588226,2072.1285979927675,4.6605521220044466e-07,72409.3070927585,68221.22467022533,4058.771503775063,8428.291709240113,optimal,0.051830744999733724
2025-02-01,M1_M6,actual_load_proxy,True,18:00,108,42.73458867439331,True,12.369448333471667,12.36944833333456,1.3710632629226893e-10,55012.41401808308,54969.67942940869,9690.38465722462,8428.291709240004,optimal,0.043823270999837405
2025-02-01,M6_only,actual_load_proxy,True,00:00,0,,True,36875.50238786107,36875.50238786107,0.0,,70548.60351209581,8687.551655739135,8428.291709682277,optimal,0.04555978500002311
2025-02-01,M6_only,actual_load_proxy,True,06:00,36,448.41212106941384,True,1147.3733780054786,0.0,1147.3733780054786,63654.88525151406,63206.47313044465,7535.488702096491,8428.291715298323,optimal,0.06015586799958328
2025-02-01,M12_only,actual_load_proxy,True,00:00,0,,True,36875.50238786107,36875.50238786107,0.0,,70548.60351209581,8687.551655739135,8428.291709682277,optimal,0.046032082000238006
2025-02-01,M12_only,actual_load_proxy,True,12:00,72,251.36000138605596,True,619.2926863379157,0.0,619.2926863379157,67620.13193499591,67368.77193360985,5524.295367816728,8428.29171529926,optimal,0.05136306099984722
2025-02-01,M18_only,actual_load_proxy,True,00:00,0,,True,36875.50238786107,36875.50238786107,0.0,,70548.60351209581,8687.551655739135,8428.291709682277,optimal,0.046620723999694746
2025-02-01,M18_only,actual_load_proxy,True,18:00,108,26.413028816808946,True,7.6452032440057,7.645202777779161,4.6622653826489113e-07,54989.09750404367,54962.68447522686,9695.364449285114,8428.291709239977,optimal,0.07158839300018371
2025-02-01,M1_M6,actual_load_proxy,False,00:00,0,,True,29296.611501202715,29296.611501202715,0.0,,16034.06008411025,8687.551655739135,1200.0,optimal,0.03765289800003302
2025-02-01,M1_M6,actual_load_proxy,False,06:00,36,457.02961449389113,True,1147.3733833731987,0.0,1147.3733833731987,9148.959316952936,8691.929702459045,7535.488702096491,1200.0,optimal,0.043374232000132906
2025-02-01,M1_M6,actual_load_proxy,False,12:00,72,4188.082444879548,True,2072.128603151957,2072.128603151957,0.0,13933.515534470245,9745.433089590697,4058.7715039489804,1200.0,optimal,0.035222760000124254
2025-02-01,M1_M6,actual_load_proxy,False,18:00,108,42.73458867441968,True,12.369448333338028,12.369448333336209,1.8189894035458565e-12,4466.898537288253,4424.163948613833,9690.38465722462,1200.0,optimal,0.027699269000095228
2025-06-21,M0,causal_load_main,True,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.0458516389999204
