date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-05-10,13591.819201175504,0.0,13591.819201175504,26754.67161464099,0.0,13389.33433746118,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00457508402178064,True
2025-05-11,34593.08189461232,0.0,34593.08189461232,57320.82275680943,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004668583016609773,True
2025-05-12,32789.630790485346,0.0,32789.630790485346,53583.85891421684,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004642083018552512,True
2025-05-13,33139.01223146955,0.0,33139.01223146955,54961.245264216835,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004848250013310462,True
2025-05-14,33084.52210909214,0.0,33084.52210909214,54821.310003105726,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004691832989919931,True
2025-05-15,33133.54208847234,0.0,33133.54208847234,54603.50534384647,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004823916999157518,True
2025-05-16,12816.607591452124,0.0,12816.607591452124,25631.92473315951,0.0,21728.24542079452,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004589207994285971,True
2025-05-17,13585.08368038643,0.0,13585.08368038643,26574.350501678033,0.0,14940.11115412785,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004422708007041365,True
2025-05-18,32953.45080843547,0.0,32953.45080843547,55531.314706809426,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004670249996706843,True
2025-05-19,30885.278061036654,0.0,30885.278061036654,50347.75796649284,0.0,1088.5013541278536,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004766916012158617,True
2025-05-20,33824.48736930602,0.0,33824.48736930602,56302.09699199462,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004706000006990507,True
2025-05-21,32628.274728335124,0.0,32628.274728335124,53046.15540125387,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004676292010117322,True
2025-05-22,32063.12162100015,0.0,32063.12162100015,52563.28766606869,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004592333978507668,True
2025-05-23,12772.52533138305,0.0,12772.52533138305,25553.182362789143,0.0,17934.745687461185,1200.0,1200.0,1200.0,10800.0,0.0,0.0,0.004478500020923093,True
