date,day_index,soc_start_kwh,soc_end_kwh
2025-07-03,183,1240.6823268562484,1323.3819661120583
2025-07-04,184,1323.3819661120583,1882.212389629149
2025-07-05,185,1882.212389629149,7556.092420573565
2025-07-06,186,7556.092420573565,1379.9374995720118
2025-07-07,187,1379.9374995720118,3301.984593525419
2025-07-08,188,3301.984593525419,1719.9432462571017
2025-07-09,189,1719.9432462571017,1728.3435319788928
2025-07-10,190,1728.3435319788928,1629.5401504117654
2025-07-11,191,1629.5401504117654,2420.8487839179293
2025-07-12,192,2420.8487839179293,8095.544107913338
2025-07-13,193,8095.544107913338,3867.340427432124
2025-07-14,194,3867.340427432124,4380.418643265532
2025-07-15,195,4380.418643265532,3484.974026032321
2025-07-16,196,3484.974026032321,3523.670482021603
2025-07-17,197,3523.670482021603,2626.6855676228915
2025-07-18,198,2626.6855676228915,3603.83294991587
2025-07-19,199,3603.83294991587,8373.006420752148
2025-07-20,200,8373.006420752148,4365.010450567845
2025-07-21,201,4365.010450567845,3618.738905900445
2025-07-22,202,3618.738905900445,4056.18243713923
2025-07-23,203,4056.18243713923,3791.586462027824
2025-07-24,204,3791.586462027824,4192.785731922928
2025-07-25,205,4192.785731922928,4428.362536641136
2025-07-26,206,4428.362536641136,9136.406678643203
2025-07-27,207,9136.406678643203,4738.17055816651
2025-07-28,208,4738.17055816651,4222.935910217841
2025-07-29,209,4222.935910217841,4975.622560483395
2025-07-30,210,4975.622560483395,5559.19912540006
2025-07-31,211,5559.19912540006,5077.838799589468
2025-08-01,212,5077.838799589468,6050.15377261439
2025-08-02,213,6050.15377261439,10013.846354196146
2025-08-03,214,10013.846354196146,4260.911750906898
2025-08-04,215,4260.911750906898,4751.623083309691
2025-08-05,216,4751.623083309691,4181.217293050526
2025-08-06,217,4181.217293050526,2595.9811037316244
2025-08-07,218,2595.9811037316244,3056.613542406892
2025-08-08,219,3056.613542406892,2645.4968481318324
2025-08-09,220,2645.4968481318324,9503.1208165911
2025-08-10,221,9503.1208165911,3506.8774630213848
2025-08-11,222,3506.8774630213848,2844.754224340387
2025-08-12,223,2844.754224340387,2635.663084556454
2025-08-13,224,2635.663084556454,4044.3973990168633
2025-08-14,225,4044.3973990168633,3123.176543102525
2025-08-15,226,3123.176543102525,3132.2442896823754
2025-08-16,227,3132.2442896823754,9381.40864807165
2025-08-17,228,9381.40864807165,2924.922261225866
2025-08-18,229,2924.922261225866,1873.3766602881128
2025-08-19,230,1873.3766602881128,2317.7030704719764
2025-08-20,231,2317.7030704719764,3285.2531908548594
2025-08-21,232,3285.2531908548594,1424.064572054241
2025-08-22,233,1424.064572054241,1502.169064090225
2025-08-23,234,1502.169064090225,9549.628756057387
2025-08-24,235,9549.628756057387,2367.928220763555
2025-08-25,236,2367.928220763555,2430.6662299664417
2025-08-26,237,2430.6662299664417,4139.66977672586
2025-08-27,238,4139.66977672586,2602.7932081427366
2025-08-28,239,2602.7932081427366,1477.3825512965807
2025-08-29,240,1477.3825512965807,2495.853706622183
2025-08-30,241,2495.853706622183,9821.91923323669
2025-08-31,242,9821.91923323669,2823.802737911724
2025-09-01,243,2823.802737911724,6437.4027625939525
2025-09-02,244,6437.4027625939525,7641.490025992935
2025-09-03,245,7641.490025992935,5499.884322299297
2025-09-04,246,5499.884322299297,5706.015445134549
2025-09-05,247,5706.015445134549,7093.1889441721305
2025-09-06,248,7093.1889441721305,10160.503129557152
2025-09-07,249,10160.503129557152,5970.410333025835
2025-09-08,250,5970.410333025835,8350.394187463287
2025-09-09,251,8350.394187463287,6768.534907618287
2025-09-10,252,6768.534907618287,5608.437509342179
2025-09-11,253,5608.437509342179,5219.976187539859
2025-09-12,254,5219.976187539859,5677.86630893033
2025-09-13,255,5677.86630893033,9654.018392049458
2025-09-14,256,9654.018392049458,5370.425405409331
2025-09-15,257,5370.425405409331,7854.041082037201
2025-09-16,258,7854.041082037201,6262.438019972956
2025-09-17,259,6262.438019972956,6207.477468181712
2025-09-18,260,6207.477468181712,2924.582069551105
2025-09-19,261,2924.582069551105,4265.201405771567
2025-09-20,262,4265.201405771567,7829.622520234
2025-09-21,263,7829.622520234,5643.256580997222
2025-09-22,264,5643.256580997222,2297.1022521753885
2025-09-23,265,2297.1022521753885,3816.556064102913
2025-09-24,266,3816.556064102913,4709.847404985511
2025-09-25,267,4709.847404985511,1220.367162856144
2025-09-26,268,1220.367162856144,3625.975385994086
2025-09-27,269,3625.975385994086,8111.245566576727
