date,n_adjusted_periods,normal_cost_yuan,emergency_cost_yuan,adjustment_delivery_yuan,adjustment_update_clock_yuan,total_delivery_yuan,total_update_clock_yuan,adjustment_gap_yuan,ledger_matches_delivery
2025-03-13,29,43810.31681002844,3160.008530458914,561.1954091882883,559.9546647716342,47531.52074967564,47530.28000525899,-1.2407444166541381,True
2025-03-14,16,13306.332006986837,1028.3244119062413,149.65595889791115,72.63371107969624,14484.31237779099,14407.290129972775,-77.02224781821491,True
2025-03-15,13,13473.020053866268,1472.578152955174,140.161889112663,89.1252840191625,15085.760095934107,15034.723490840606,-51.0366050935005,True
2025-03-16,29,40498.14974795725,896.302590249268,887.7832960179467,991.7837181277923,42282.23563422446,42386.23605633431,104.00042210984566,True
2025-03-17,33,36822.54001308473,1804.4307814580272,1727.9246444698542,2406.6923389991643,40354.8954390126,41033.663133541915,678.7676945293101,True
2025-03-18,37,40191.454393259686,1531.141513264182,2310.498579216144,2501.142433647369,44033.09448574,44223.73834017123,190.643854431225,True
2025-03-19,21,39233.183399055284,2577.899401020304,1324.0989296844468,1679.853281402317,43135.181729760036,43490.9360814779,355.7543517178701,True
2025-03-20,33,36552.71162472278,6381.128646330557,1550.220031016026,1935.1847838294184,44484.06030206936,44869.025054882746,384.96475281339235,True
2025-03-21,14,12911.304592849337,1796.6661579635147,100.54421620859935,65.97488900956083,14808.514967021452,14773.945639822414,-34.569327199038526,True
2025-03-22,13,12686.206157200068,583.9650510678632,102.48456608176036,28.21092595018617,13372.65577434969,13298.382134218116,-74.2736401315742,True
2025-03-23,30,37044.66229707675,2047.898998299932,1609.0505105982838,1420.6065052051229,40701.611805974964,40513.1678005818,-188.44400539316098,True
2025-03-24,33,37239.96823385184,2030.6899691834828,1140.892934416047,1596.3658453894805,40411.551137451366,40867.0240484248,455.4729109734335,True
2025-03-25,38,38526.75836560497,3802.9667698285825,2691.3269122480306,3311.416949110557,45021.05204768159,45641.14208454412,620.0900368625266,True
2025-03-26,25,35726.28196491419,832.5178753649134,1325.5429696369874,1037.2025490107594,37884.342809916096,37596.00238928986,-288.340420626228,True
2025-03-27,35,34146.73583202333,4459.299839764502,1507.9326656787937,1861.22221785883,40113.96833746663,40467.257889646666,353.28955218003625,True
2025-03-28,9,12577.443716470709,596.6549497847643,27.644774341810006,14.72622366978203,13201.743440597282,13188.824889925254,-12.918550672027976,True
2025-03-29,11,12054.155782244114,1168.626768098268,133.9103271621035,31.12419850330629,13356.692877504485,13253.906748845688,-102.78612865879721,True
2025-03-30,32,30638.287693053957,6019.45755028576,1954.7460801831544,2702.0016500623997,38612.491323522874,39359.746893402116,747.2555698792453,True
