date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,price_mode,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-04-13,102,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,31483.814535924397,352.7442695240994,3438.0891801372527,35274.64798558575,53178.117874534044,53086.62865852578,940.0591440841317,175.7644966049404,9302.378922750428,5972.065652598993,3,0,2.2737367544323206e-13,0.0,4.900450237997575,0.0,True
2025-04-14,103,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,31184.107214448464,1739.4158277183042,7715.972891161684,40639.49593332845,59931.686520822186,54438.909536943516,2243.5542596916216,1528.799927092131,5972.065652598993,6136.824736489733,3,0,1.1368683772161603e-13,0.0,4.70465706899995,0.0,True
2025-04-15,104,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,31532.02603806743,525.289282136303,4640.89311360518,36698.20843380891,54077.985638959086,55820.48504307287,1081.5109414425312,880.2787032019255,6136.824736489733,8491.397296167492,3,0,1.1368683772161603e-13,0.0,4.94105394599319,0.0,True
2025-04-16,105,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,32822.380344630525,739.3259107218923,3316.193948618063,36877.90020397048,56174.77809739769,55992.45660554958,932.170743736372,90.82629166666754,8491.397296167492,6604.084843834707,3,0,1.1368683772161603e-13,0.0,5.14382458399632,0.0,True
2025-04-17,106,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,30213.55165133697,759.4947180587952,4983.689602178316,35956.73597157409,47354.165132198505,50449.935104471806,1308.3532703473784,323.15657850719583,6604.084843834707,2195.1014263551097,3,0,1.7053025658242404e-13,0.0,4.445883943000808,0.0,True
2025-04-18,107,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,10495.866155111602,57.01620137619474,2904.0281630408426,13456.91051952864,30197.33890171487,30244.476763971878,1348.7303173549521,18335.927328356243,2195.1014263551097,6718.004410649537,3,0,1.1368683772161603e-13,0.0,4.922618748008972,0.0,True
2025-04-19,108,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,10572.591682629927,161.10472163785633,1178.0710028141332,11911.767407081916,29579.591461712986,30110.772454581427,520.2619027948649,17070.16422418958,6718.004410649537,10694.846823199761,3,0,1.1368683772161603e-13,0.0,4.381463405996328,0.0,True
2025-04-20,109,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,29502.65840629777,454.715474791501,3014.46397270594,32971.83785379521,47122.394336301644,48633.75496091452,1024.2352071911073,275.20545993124347,10694.846823199761,5311.194784976156,3,0,3.410605131648481e-12,0.0,5.6639203099912265,0.0,True
2025-04-21,110,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,29861.652445828367,1007.9713262765812,4208.458338687049,35078.082110792,56127.22176797972,52003.89167359052,1089.8773966952995,2459.776035867428,5311.194784976156,5020.607166885599,3,0,3.410605131648481e-12,0.0,4.491629395008204,0.0,True
2025-04-22,111,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,30703.91233074773,656.4372674511276,4479.580906601115,35839.93050479997,50090.84531653684,52101.91469009756,1451.5570486155916,224.1146555555538,5020.607166885599,3467.599148482495,3,0,1.1368683772161603e-13,0.0,4.440727291002986,0.0,True
2025-04-23,112,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,33051.207180442376,1153.269689628473,3633.084951107785,37837.561821178635,54006.44168477455,58304.97589059685,1192.805816859738,1104.410949935446,3467.599148482495,7508.631988504138,3,0,1.1368683772161603e-13,0.0,4.638024398998823,0.0,True
2025-04-24,113,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,29074.31584389863,862.5380096567551,2170.6866264040036,32107.540479959385,45908.33916777179,49006.52952134496,537.141159988971,3585.2514544364967,7508.631988504138,2831.5022939083483,3,0,1.1368683772161603e-13,0.0,4.431619451002916,0.0,True
2025-04-25,114,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,9372.207129492423,174.05049092616454,2025.7210006887644,11571.978621107352,28859.390521711113,28418.55106464662,734.9515327870029,20937.5046211127,2831.5022939083483,6543.059537481771,3,0,1.1368683772161603e-13,0.0,4.62729432398919,0.0,True
2025-04-26,115,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,10091.064443377742,78.90502795772541,1431.35330304879,11601.322774384256,28472.511250568983,28742.46353901075,551.1730203423998,23311.36993993032,6543.059537481771,9780.097229967481,2,0,2.2737367544323206e-13,0.0,4.683950692997314,0.0,True
