date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-09-08,250,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,46715.9500404323,1388.6653524004867,205.29187722771485,48309.907270060496,70959.98620033858,70644.12735428242,79.11623719275099,1326.998829166665,5420.667338245975,5938.431805269378,3,0,1.1368683772161603e-13,0.0,4.855824531994585,0.0,True
2025-09-09,251,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42634.22931701704,841.3921673536344,22.21804223384773,43497.83952660452,60458.41424894497,62993.580672998505,9.167750052698011,2867.034713888887,5938.431805269378,5824.346782284755,3,0,1.1368683772161603e-13,0.0,4.840473240001302,0.0,True
2025-09-10,252,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,46204.49418132718,1349.3903671024555,50.36382664466964,47604.248375074305,70367.0182853366,68919.9251055785,15.614269623643994,246.3730850012778,5824.346782284755,4292.128780732486,3,0,1.1368683772161603e-13,0.0,5.196710684998834,0.0,True
2025-09-11,253,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42444.165728597865,1974.791483164062,35.24922314088441,44454.206434902815,71060.10414318705,63284.27186406604,15.256101581949752,2354.548336676363,4292.128780732486,4570.470742104178,3,0,1.1368683772161603e-13,0.0,4.653228778006451,0.0,True
2025-09-12,254,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,17308.520309782463,43.84703470103255,3.5308334268639414e-07,17352.36734483658,35374.46590790835,35512.26444255491,2.26923093505906e-07,17900.050279127852,4570.470742104178,4785.093734136768,3,0,1.1368683772161603e-13,0.0,4.472202575998381,0.0,True
2025-09-13,255,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,20158.832891963277,41.481099022877586,1.1309782098578582e-07,20200.31399109925,44062.16555525405,44204.3450262198,5.287415660859551e-08,21392.684246411798,4785.093734136768,10193.615690272412,3,0,1.1368683772161603e-13,0.0,4.349897186002636,0.0,True
2025-09-14,256,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,44270.668290138536,1503.184426262177,53.791320687499834,45827.64403708821,70056.2448148136,65121.60147847869,25.53587499999992,1834.5914542049175,10193.615690272412,4780.534146960116,3,0,1.4210854715202004e-13,0.0,4.992691147002915,0.0,True
2025-09-15,257,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42563.12656010194,352.3997018595699,1447.340012276559,44362.86627423807,62929.708867945854,63931.23145958857,332.6611567025766,1434.6102291278448,4780.534146960116,6771.595270936279,3,0,1.1368683772161603e-13,0.0,5.127938819001429,0.0,True
2025-09-16,258,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43704.99740450173,1810.862081230252,36.46276111458218,45552.32224684656,71779.36707168324,66049.19007398095,14.829104166666298,2131.32073240741,6771.595270936279,5641.880883180814,3,0,1.1368683772161603e-13,0.0,4.606631176000519,0.0,True
2025-09-17,259,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43377.149996762295,1312.0024939738755,840.5209427638861,45529.67343350006,68013.35028126983,65680.37710436832,324.04062222222126,570.1937712961076,5641.880883180814,5003.237372849884,3,0,1.1368683772161603e-13,0.0,4.785088214004645,0.0,True
2025-09-18,260,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43305.69168793618,1593.8043247005367,100.5018355518807,44999.99784818861,59712.28352906579,66285.55993656354,40.97934171619284,1452.5822597222232,5003.237372849884,3453.9934346247774,3,0,1.474376176702208e-13,0.0,4.388827758004481,0.0,True
2025-09-19,261,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,16652.56621680739,236.15299911022584,6.550218324999946,16895.26943424262,35294.98756436376,34964.54959621439,2.1610749999999825,13547.47521832538,3453.9934346247774,4671.536262057757,3,0,1.1368683772161603e-13,0.0,4.349360472006083,0.0,True
2025-09-20,262,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,18991.244972376397,270.31932377066437,512.5243002798629,19774.088596426926,43576.035664613984,43042.675303021744,179.92928194444517,14180.771711072297,4671.536262057757,10799.999999278467,3,0,8.978827281680424e-08,0.0,4.566744103001838,0.0,True
2025-09-21,263,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42364.93060931056,636.0930204181498,5.761016362500019,43006.78464609121,63672.234338954426,62359.58760696696,2.794575000000009,1657.896660339506,10799.999999278467,6529.056129022279,3,0,1.1368683772161603e-13,0.0,4.520595549001882,0.0,True
2025-09-22,264,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,41339.003514190015,2088.591520272342,1653.8364284447798,45081.431462907145,67287.5865869475,61291.57188038041,476.5411639748385,495.33076249999976,6529.056129022279,3316.3242746726887,3,0,1.1368683772161603e-13,0.0,5.411718042996654,0.0,True
2025-09-23,265,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,44018.93178690687,752.298633779194,818.9233331970663,45590.15375388313,69630.27467433494,67375.90248255561,226.62545413523685,185.6456555555538,3316.3242746726887,4020.363453979464,3,0,1.1368683772161603e-13,0.0,4.660225732994149,0.0,True
2025-09-24,266,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42642.596961748015,1257.0343567516595,1829.8082813942647,45729.43959989395,60913.395502415675,65046.12811652641,638.1767306022784,492.356515277776,4020.363453979464,4322.2567418121735,3,0,1.1368683772161603e-13,0.0,5.449287930998253,0.0,True
2025-09-25,267,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43289.74622358046,1090.408892445288,774.105681211201,45154.26079723695,63145.1739458894,65893.87762356513,202.58980008519444,2196.432893055555,4322.2567418121735,2501.7809246788356,2,0,2.2737367544323206e-13,0.0,4.496984534998774,0.0,True
2025-09-26,268,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,15150.51083974732,466.2855748880587,276.56743001597204,15893.363844651349,35686.667865250754,34285.710311878196,156.6866291666666,11678.705317553779,2501.7809246788356,4371.461345450269,3,0,1.1368683772161603e-13,0.0,5.277299720000883,0.0,True
2025-09-27,269,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,18569.18068950001,201.54870638248912,1095.1229870972911,19865.852382979792,41225.29591245412,41652.84232717335,352.36899859777066,13306.134070794518,4371.461345450269,10799.999999762234,3,0,1.1368683772161603e-13,0.0,5.134123928000918,0.0,True
2025-09-28,270,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,44346.29129930148,1315.961155275351,1390.0176224492368,47052.27007702608,62498.825504431974,66790.49999965137,299.6816093992811,754.433724961185,10799.999999762234,8048.711607800703,3,0,2.2737367544323206e-13,0.0,4.791084922006121,0.0,True
2025-09-29,271,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,39153.41985623711,1127.3431439407318,7762.079512125565,48042.8425123034,61836.080218532865,58208.22539396997,2145.1172282792586,0.22651666666666664,8048.711607800703,2993.170512752333,3,0,1.5631940186722204e-13,0.0,4.420697448003921,0.0,True
2025-09-30,272,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,44734.49132377785,772.1187502036292,4666.69242080806,50173.30249478955,65629.63760201378,68129.9705543019,1447.2603625193442,137.94067083333127,2993.170512752333,3148.666970603279,3,0,2.2737367544323206e-13,0.0,4.848784331996285,0.0,True
2025-10-01,273,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,37108.63942533701,478.1361945317881,387.9334887145153,37974.709108583316,60192.24793228485,57894.47234894177,173.9655727217346,3588.714085185186,3148.666970603279,3690.0943561329086,2,0,1.1368683772161603e-13,0.0,5.4226997069999925,0.0,True
2025-10-02,274,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,36288.046179910765,2517.0121207159577,1142.3112715585755,39947.3695721853,66400.74121762734,57541.35788018658,340.51535977949686,2615.105529096848,3690.0943561329086,3909.41200567718,3,0,1.1368683772161603e-13,0.0,4.777398295998864,0.0,True
2025-10-03,275,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,12734.652927618521,159.7252631944482,1662.0029727025735,14556.381163515543,30132.571924454,30438.11623540696,710.8762707786732,19068.611190238964,3909.41200567718,5341.9881419823405,3,0,1.1368683772161603e-13,0.0,4.65575546999753,0.0,True
2025-10-04,276,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,15338.734898603918,207.969249708873,2267.6807464770854,17814.384894789877,37869.57379928036,37274.18499174503,934.4048066978717,15324.082844206503,5341.9881419823405,10199.05480785288,3,0,1.1368683772161603e-13,0.0,5.121002034000412,0.0,True
2025-10-05,277,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,36475.17127726806,1857.8025975568485,1116.5693415230746,39449.543216347985,63077.29072184961,56090.95745700335,423.8254829689666,970.768269405631,10199.05480785288,7508.236664632704,2,0,1.8189894035458565e-12,0.0,4.794551901999512,0.0,True
2025-10-06,278,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,37494.30101406908,559.1905820183654,3673.2787006321314,41726.77029671957,54336.18794564151,56378.307950702925,1201.6360399533717,171.41860118915577,7508.236664632704,4210.446974187767,2,0,1.6697754290362354e-13,0.0,4.788346706998709,0.0,True
